,fuzz_locations,fuzzed
16951,victoriaparkave&woodaleavekingstonrd.,victoriapark
16952,sunrise&vicpark,sunrise&victoriaparkwest
16953,humberblv&louvain,humberblvd&louvain
16954,royalyorkstation&lakeshore&mimico,royalyork
16955,humberloop&oldmillstation$marineparade,marineparade
16956,finch&westsidebridletown,finchwest
16957,colsamloop&lakshore,horner
16958,bathurst&vista,b&hurst&vesta
16959,mcnicollave&midlandave,mcnicoll
16960,dcco$crag&wast,carlaw
16961,"jane&shoreham,justnorthofshoreham",jane&shoreham
16962,hoskin&st.georgest.,kingstoneast
16963,johnst.&weston,weston
16964,427nb&dundas,bay&dundaswest
16965,bayview.&sheppard,bayview
16966,betweeencarrier&hwy27eb,carrier
16967,steeles&yongebusloop,yonge
16968,baldoonroad&finchave.e,baldoon&fincheast
16969,doncliffeloopatmountpleasant&glenecho,doncliffeloop&glenecho
16970,lansdowne&wallaceave.,lansdowne
16971,brickworks&donvalley,valleywoods
16972,bloor&york,royalyork&yorkview
16973,midland&progresskennedy&sheppard,kennedy
16974,dufferin&southofbloor,dufferin
16975,eglintonw&mayfair,eglintonwest&nairn
16976,gilderdrive&midland,midland
16977,allenroad&onlawrencewestbetweendufferin,dufferin
16978,bellayreblvd&davisville,belleayreblvd&davisville
16979,duncannondr&eglinton,eglintoneast
16980,memorial&wilson,wilson
16981,bay&fronte,bay&frontwest
16982,dockside&queensquey,dockside&queensquayeast
16983,sheppardstation&yorkuniversity,sheppardeast
16984,broadview&erindale.,broadview
16985,downsviewstation&mmdu,sheppardwest&bakersfieldwest-downsviewpark&ion
16986,sweeney&wincliffe,sweeney&wyndcliffcres
16987,hischoolwofkennedy&lawrence,kennedy
16988,meadowale&sheppard,meadowvale&sheppardeast
16989,kennedy&mcnicollavenue,mcnicoll
16990,bloorbydufferinmall&dufferin,dufferinmall
16991,kingston&military,kingston
16992,lakeshore$church&millstr,church
16993,downsviewstation&shepperd,ion&sheppardwest
16994,sentinelrd.&stilecroft,cook&sentinel
16995,broadway&youngst,broadway&yonge
16996,lawerence&portunion,lawrenceeast&portunion
16997,briandrive&sheppardavee,brianwest&sheppardeast
16998,credituniondr&eglinton,creditunion&eglintoneast
16999,euclid&medowvale,euclid&meadowvale
17000,chimneystack&keelest,keele
17001,comsumers&victoriapark,consumers&victoriapark
17002,brookave&fellbriggave,maybrook
17003,barwick&yonge,berwick&yonge
17004,batview&steeles,bayview
17005,thewestway&tollington,islington
17006,2278brimleyroadhuntingwood&brimley,brimley
17007,cherry$strachan&mill,cherrywest&mill
17008,paxton&st.clair,clair&ion
17009,bucklandrd&shepperd,buckland&sheppardwest
17010,glenforest&yongest,yonge
17011,jane&maniza,jane
17012,gerrad&yonge,yonge
17013,eg&keele,keele
17014,lawrence&scarlett$jane,jane
17015,kpsn$slpm&rc27,kipling
17016,downsview-rutherford&majormack,downsviewnorth&jane
17017,dawes&donovadr,dawes&donorasouth
17018,alexmuir&brimley,brimley
17019,harbord&huron,harbord&b&hurst
17020,davisville&yongest,davisville&yongeeast
17021,lawrence&thedonwaye,lawrenceeast&thedonwayeast
17022,centennialrd&lawrence,centennial&lawrenceeast
17023,oldmillstation$lakeshore&m.parade&humber,ion&oldmill
17024,betweenst.clair&caladoniaonrogersrd.,caledonia
17025,bathrust&st.clair,b&hurst&clairwest
17026,bay&queenstw,bay&queenwest
17027,hullmardr.&jane,jane
17028,morningside&nightstarroad,morningside
17029,avenuerd&hillhurstav,davean
17030,bathurstst&ranee,b&hurst&ranee
17031,bathrst&wilson,wilson
17032,bathurst&harbordst.,b&hurst&harbord
17033,lawrence&lebbury,lawrencewest&ledbury
17034,markhamroad&mcnicoll,mcnicoll
17035,avenuerd&roselawn,nue&roselawn
17036,huntingwood&kimberdale,huntingwood
17037,mcnicollscooltrip&midland,mcnicoll
17038,kiplingave&steelesave,kipling
17039,bannatyne&davean,bann&yne&davean
17040,eglintonaveeast&midlandave,midland
17041,castlefield&duffeirn,castlefield&dufferin
17042,burnhamthorpe&hwy27,burnhamthorpe&holloway
17043,donlandav&o'connor,donlands&o'connor
17044,laird&macrae,laird&mcrae
17045,bremnerblvd&navywharfct,bremnerblvd&spadina
17046,bloor&mill,bloorwest&mill
17047,cummer&simeconcrt,cummer
17048,cornwallisdr&kennedy,kennedy
17049,eglinton&marleeave.,eglintonwest&marlee
17050,avenuerdexp&bloor,davean
17051,brumwellstreet&lawsonroad,lawson
17052,hwy#401&mccowan,mccowan
17053,daviescr&donlands,baltic&donlands
17054,bayst.&frontstwest,bay&frontwest
17055,glenroad&southdr,glen&south
17056,queensquaye&yongest.,yonge
17057,lawrence&scarlette,lawrencewest&scarlett
17058,queenst&yonge,yonge
17059,midand&steeles,midland
17060,kingstonroad&westhill,kingston
17061,morningside&nightstart,morningside&nightstarsouth
17062,finchwest&fwes-westonrd,weston
17063,rutherfordroad&westonroad,weston
17064,churchst&kinggeorgest,church
17065,albionroad&arcotblvd.,albion
17066,bathurst&greenvillagerd,b&hurst&greenwinvillage
17067,fredrick&sentinel,cook&sentinel
17068,clipperrd.&vanhorne,clipper&vanhorne
17069,clipperrd&van-horne,clipper&vanhorne
17070,eglintonave&petmanave,eglintoneast&petman
17071,drewry&fisherville,ewry
17072,mccowan&nuggetavenue,mccowan
17073,attlwell&disco,attwell&disco
17074,avenuerd.&northboundbloor,davean
17075,lawrenceavee&scarboroughgolfclubrd,lawrenceeast&scarboroughgolfclub
17076,bayst&frontste,bay&frontwest
17077,fortyork&spadina,toryork
17078,brimley&ellsemenre,brimley&ellesmere
17079,oppo175dufferin&steeles,dufferin
17080,crowtrail.&neilsonrd,crowtrail&neilson
17081,blor&islington,islington
17082,parkwoodsvilla&yorkmillsroad,yorkmills
17083,bickrellave&eglinton,eglintoneast
17084,dunravendr&keelest,keele
17085,bathurstst&tichesterrd.,b&hurst&tichester
17086,ellesmere&midlan,ellesmere&midland
17087,ellelsemere&victoriapk,ellesmere&victoriapark
17088,eglinton&trethwey,eglintonwest&trethewey
17089,denison&janest,jane
17090,lawrence&nbmarkham,markham
17091,dufferin&stylvan,dufferin&sylvan
17092,steele'save&woodbine,eeleseast&woodbine
17093,danforthave&siblley,danforth
17094,eastliverty&strachan,eastliberty&rachan
17095,bay&quuen,bay&queensquaywestnorth-jacklaytonferryterminal
17096,3025&westonroad,weston
17097,mountdennis$lawrence&royalyork,dennis
17098,finch.&jane,jane
17099,albion&armell,albion
17100,danforth&savarain,danforth&savarin
17101,frontst&wbparliament,fronteast&parliament
17102,bathurst&eglinton$sheppard,sheppardeast
17103,birchmount&finchave,birchmount
17104,oldfinch&valleycentre-finchstation,oldfinch&valleycentrewest
17105,morningside&nightstar-yorkuniversityloop,morningside
17106,montcastle&steeles,mountcastleg&e&eeleseast
17107,mountdennis$petrolia&steeles,dennis
17108,birchmount&ellesemere,birchmount&ellesmere
17109,scarboroughtowncentre$morningsideave&staines,morningside
17110,fennaveonyorkmills&onyorkmills,yorkmills
17111,knobhilldrive&oakst.,coehill
17112,dolphindr&pharmacy,dolphin&pharmacy
17113,lawrence&vicpk,lawrence&ion-southboundpl&form
17114,caledonia&summitave,caledonia&summit
17115,stclairstation&thorncliffepark,thorncliffepark
17116,bathurst&finchstation,b&hurst&finchwest
17117,dufferin&temple,dufferin
17118,crosslanddr&penworthrd,crosland&penworth
17119,drewry&fairchild,ewry&fairchild
17120,benstanton&lawrence,ion&lawrence
17121,martingrove&royalcrestrd,martingrove&royalcrest
17122,liberty&pirendello,eastliberty&pirandello
17123,gordonbakerroad&victoriapark,gordonbaker&victoriapark
17124,highcreekoverpass&oldkingrd,highlandcreekoverpass&kingston
17125,donmills&gatewayblvdnt,donmills
17126,dufferinbetweensteeles&finch,dufferin
17127,finch&grantbroock,finchwest&grantbrook
17128,bayview&donmills,donmills
17129,chine&kingstonrd,chine&kingston
17130,castlemore&majormackenzie,castlemore&mccowan
17131,st.regis&st.regiscrescent,regiscres
17132,deanvar&vicpark,deanvar&victoriapark
17133,lawrance&valia,lawrenceeast&valia
17134,mcnicholl&midland,mcnicoll&midland
17135,donvalleypky&eastern,donvalleypkwyeast&eglintoneast
17136,adelaide&victoria,valdane&victoriapark
17137,glenroad&south,glen&south
17138,habitat&weston,habitant&weston
17139,johntabor&mclevin,mclevin
17140,scarsdale&yorkmillsroad,scarsdale&yorkmills
17141,danforth&victgoriapark,danforth&victoriapark
17142,avenuerd&brookeav,davean
17143,mccowansrt&triton,mccowan&triton
17144,bayview&eglintorentcliffe&eglinton,bayview
17145,lawrence$finch&youge$leslie,leslie
17146,pondrd$sheppard&southofeglinton,eglintoneast
17147,avenuerd$eg.station&lawrence$bombayloop,ion&lawrence
17148,richmondstreet&university,richmondwest&yongewest
17149,jane&st.clairwest,jane
17150,dundas$olddundasroad&jane,jane
17151,jane&st.clairavenue,jane
17152,bishop&yongeatyrtstation,yonge
17153,donlandsave.&millwoodrd.,donlands&millwood
17154,morningside&oldfinchrd,morningside&oldfinch
17155,elginton&westonrd,weston
17156,antibies&candlelightway,antibes&candleliteway
17157,morningside&finch&finchstation,morningside
17158,bradstock$sheppardyongestation&westonrd,yonge
17159,bresler&dixon,dixon
17160,broadviewstation$coxwell&plainsrd,coxwell&plains
17161,dritwood$downsviewstation&jane,jane
17162,gearyave&oakwod,earlsdale&oakwood
17163,broadviewstation&donmills&wynford,donmills&wynford
17164,jarvis&richmond&university&adelaide,elm&universityeast
17165,oldyonge&yorkmillsbetweenyonge,yonge
17166,finchstation-morningside&yorku-stc,morningside
17167,eglintonstation&kennedystation,kennedy
17168,siganlhill&steeles,keele
17169,jarvis.&queenquay,lowerjarvis&queensquayeastnorth
17170,steeles&waggoner'swell,eeleseast&waggonerswellslane
17171,bayview&eglintonavee,bayview
17172,oldleslie&sheppard,leslie
17173,estation$otbr&stsp,weston
17174,elise&greenwinvillage,eliseter&greenwinvillage
17175,ingramdr.&keele,ingram
17176,finchave.&humberline,finchwest&humberline
17177,graigton&pharmacy,craigton&pharmacy
17178,eliseterrace&greenwinvillage,eliseter&greenwinvillage
17179,allenroad&transit,mabelle
17180,sheppard&wast$warden,warden
17181,kingston&markam,kingston&markham
17182,jsnt$jste&poja,jane
17183,coronardocort&westonrd.,weston
17184,brookbanks&parkwood,brookbanks&parkwoodsvillage
17185,barlone&varsity,bralornecres&varsity
17186,finchavee&kennedy,kennedy
17187,bathurstst&roselawn,b&hurst&roselawn
17188,jarvis&queesnquay,lowerjarvis&queensquayeastnorth
17189,collingbrook&pharmacy,pharmacy
17190,islingtonave&lemsfordrd.,islington
17191,eglintonave&lawrence,eglintoneast
17192,eglinton&northatlawrence,eglinton&ion
17193,eglinton&mcoowan,eglintoneast&mccowan
17194,ellesmere&silverdale,ellesmere
17195,blantyre&queen,blantyreeast&gerrardeast
17196,",mortimer&donlands",donlands&ion
17197,guldwood&kingstonrd,kingston
17198,weston&wilbycres.,weston
17199,eglinton&keeledalepark,keele
17200,dundas&humberhill,dundaswest&humberhill
17201,fstation$pamk&mofi's,albion
17202,ferwood&kingston,kingston
17203,dhome&o'connor,dohme&o'connor
17204,queensquay&spadina,queenwest&spadina
17205,peterkaiser&steeles.,peterkaiserg&e&eeleswest
17206,mcnaughtonave.&victorycres.,mcnaughton&victorycres
17207,keelest.&steelesave.,keele
17208,castlefield&dufferinstreet,dufferin
17209,eglintonav&lascellesblvd,eglintonwest&lascellesblvd
17210,christiest.&davenportrd.,christiewest&davenport
17211,dufferin&rosecliff,dufferin
17212,dufferinst&orfusrd,orfus
17213,greenwood&linnsmorecr,greenwood&ivy
17214,select&tapscot,select&tapscott
17215,dundonald&yonge,yonge
17216,"yonge&eglinton,yonge&ranleigh",yonge
17217,eastyorkacres&haldon,eastyorkacresparkinglot&haldon
17218,common&yorkblvd,commanderblvd
17219,melrose&royalyorkrd.,melrose&royalyork
17220,hwy27&queensplatedr,highway&queen'spl&e-woodbinecentre
17221,church&janest,church&jane
17222,lawrence$finch&yonge$leslie,yonge
17223,lawrence$bombayloop&yonge$avenuerd,yonge
17224,highway401progress&markham,markham
17225,eastdaleave&goodwoodparkcr,eastdale&goodwoodparkcres
17226,donmillsstation&sheppardbetweenvictoriapark,victoriapark
17227,middlefield&oratorgate,middlefield
17228,dufferinst&hopest,dufferin
17229,"lawrence&marlee,eglinton&marlee",eglintonwest&marlee
17230,finch&grantbrookav,finchwest&grantbrook
17231,danforth&elward,danforth
17232,donmills&eglinton`,donmills
17233,:lawrence&olympia,lawrencewest&olympiaeast
17234,sblawrence&victoriapark,victoriapark
17235,"finch&senlac,sheppard&willowdale",finchwest&senlac
17236,canforth&nblawrence,carnforth&lawrenceeast
17237,dollyvardenw&ellesmere,ellesmere
17238,markhamrd.&milnerave.,milner
17239,danforthrd&tansleyavelawrence,danforth
17240,theesplande&yonge,theesplanade&yonge
17241,climansroad&lynedockcrescent,climans&lynedockcres
17242,majormac&wardenstation$steeles,warden
17243,linkwoodlane&stdenis,dennis
17244,esnaparkrd&steeles,keele
17245,jamieson&lakeshoreblvdwest,lakeshoreblvdwest
17246,beaumondehtsdr&islingtonave,islington
17247,brichmountrd&huntingwooddr,huntingwood
17248,birchmount&wbatdanforth,birchmount&danforth
17249,cummerave&yongest.,yonge
17250,"bathurst,betweenfisherville&finch&bathurstanssheppard",sheppardeast
17251,eastbourne&eglintonave,eglintoneast
17252,cummerave.&willowdaleave,cummer
17253,yonge&eglinton&st.clair$queensquay,yonge
17254,donmills&overlea$eglinton,donmills
17255,donmills&overlea$donmills&eglinton,donmills
17256,ave.rd.&eglintonavewest,weston
17257,ave.rdnorthoflawrence&eglintonavewest,weston
17258,east&lawrance,caledoniaeast&lawrencewest
17259,brentcliffe&donmills,donmills
17260,steelesave&woodbine,eeleseast&woodbine
17261,dufferin&homesdale,dufferin&holmesdale
17262,brimorton&lawrance,ion&lawrence
17263,carlaw&dicken,carlaw
17264,glenwoodave.&runnymede,glenwood&runnymede
17265,finchave.&markhamroad,markham
17266,jane&shepperd,jane
17267,bloorave&islington,islington
17268,bloor&queenspark,bloorwest&queenspark
17269,lakeshore&strachann,fleet&rachan
17270,sheppard&sunfieldrd,sheppardeast
17271,"yonge&eglinton,laird&eglinton,ionview&eglinton",eglinton&ion
17272,yonge&eglinton&laird&eglinton,yonge
17273,brimley&steeles.,brimley
17274,kingstonrd&queenst.e,kingston
17275,coxwell&woodbine,coxwell&robbins
17276,valleyroad&yorkmills,yorkmills
17277,wynforddr.&wynfordheightscres.,wynford&wynfordheightscres
17278,signet&steeels,brenyonwayeast&sewells
17279,42overlea&overlea,overleablvd
17280,coldport&gerrard,clonmore&gerrardeast
17281,altantic&king,atlantic&kingwest
17282,finchave&morningsiderd,morningside
17283,finchw.&weston,weston
17284,davenport&oakwod,davenport&oakwood
17285,wellesleystreet&yonge,yonge
17286,mountdennis$martingrove&thewestway,martingrove
17287,coxwellave&queenst,coxwell&queeneast
17288,14thave&wardenave,warden
17289,lesmills&yorkmills,lesmill&yorkmills
17290,birchmount.&lawrence,birchmount
17291,finchdene&scartowncentrestation-finch,finchdenesq
17292,"onislingtonave.&rexdaleblvd.,fromdixonroad$steeles&humberwood",rexdaleblvd
17293,fishop&willowdale,bishop&willowdale
17294,1111finchavewest&finch,finchwest&norfinch
17295,morningviewtrail&scartowncenterstation-morningside,morningviewtrail
17296,donmillsrd&sheppardave$donmills&steeles,donmills
17297,norminder&uppercanada,uppercanada
17298,common&yorkublvd,commanderblvd
17299,bathurst&wilsonstation.clark,wilson
17300,huntingwoodave&wardenave,warden
17301,donmills&sheppard$donmills&steeles,donmills
17302,goloop&majormac,angusglencommunitycentreloop&majormackenzieeast
17303,ellesmere&kingstonroadloop,ellesmere
17304,littles&sewellsrd.,littles&sewells
17305,morepark&yongest,moorepark&yongewest
17306,clocktower&donmillsrd,clocktower&donmills
17307,carlton&parliement,carlton&parliament
17308,cosburn&ebtodmorden,cosburn
17309,hurley&mccowan,mccowan
17310,parkholme&yonge,parkhome&yonge
17311,princess-gate&wilsonstation,wilson
17312,bathurst&shallmar,b&hurst&horsham
17313,cohill&windermere,coehill&windermere
17314,eblawrence&railside,railside
17315,eglinton&gelncederdr.,eglinton&ion
17316,roxborough&yonge,yonge
17317,chaplain&roselawn,chaplincres&roselawn
17318,middlefield&steelesloop,middlefield
17319,charlotown&lawrance,ion&lawrence
17320,antibees&bathurst,antibes&b&hurst
17321,eglinton&gabionway,eglintonwest&gabianway
17322,coleraine&mccowanave,coleraine&mccowan
17323,kingston&wardenave.,warden
17324,bayview&citation,bayview
17325,eglinton&heddingtonave,eglintonwest&heddington
17326,hardingave&jane,jane
17327,bastion&fortyork,bastioneast&fortyorkblvd
17328,markhampamk&passmore,markham
17329,hwy27&nearticdr,highway&martingrove
17330,abitibiave&yonge,yonge
17331,airpost&orlando,airport&orlando
17332,georgehenry&graydonhall,graydonhall
17333,dynamic&mc.nickle,dynamic
17334,duncanmills&valleybrook,duncanmill&valleybrook
17335,cotton&stclair,clair&ion
17336,donmills&leith,donmills&leithhillnorth
17337,coxwell&strathmoreblvd,coxwell&ion
17338,steelesavewest&thurman,eeleswest&thurman
17339,steelsave&yongestreet,yonge
17340,finchaveeast&pharmacyave,pharmacy
17341,ellesmererd&kennedy,ellesmere&kennedy
17342,roxboroughst.&yonge,yonge
17343,betteridge&martingrove,bethridge&martingrove
17344,castlefild&dufferin,castlefield&dufferin
17345,16thave&wardenave,warden
17346,main&occonnor,o'connor
17347,queen&waverly,ewry
17348,eglintonavee&yonge,yonge
17349,varihall&yorkucommons,carlhall
17350,northoverstreet&shpperd.,northover&sheppardwest
17351,danfoethave&victoriapark,victoriapark
17352,eglintonn&islington,islington
17353,cherry&mills,cherrywest&mill
17354,ebkingston&midland,kingston&midland
17355,"stbede""s&vicpark",bedes&victoriapark
17356,bathurst&bloorstreet,b&hurst&bloorwest
17357,finch&finchden,finch&ion
17358,donlandav&mortimerav,donlands&mortimer
17359,morningsideroad&morningviewtrail,morningside&morningviewtrail
17360,banffrd&eglintonavee,banff&eglintoneast
17361,pharmacyave&princewaydr,pharmacy
17362,kennedyave&steelesavee,kennedy
17363,fontenay&scarlett,fontenaycrtsouth&scarlett
17364,harvie&rogers,kane&rogers
17365,murrayrd&wilsonave,wilson
17366,lawerence&welland,lawrencewest&welland
17367,frontst&sbcherry,fronteast&sherbourne
17368,busroadway&yokrblvd.,broadway&yonge
17369,midland&midlandsrt,midland
17370,ironside&mcnicol,mcnicoll
17371,birchmountrd&glendowercircle,birchmount&glendowercirct
17372,overlea&thorncliffeparwest,overleablvd&thorncliffeparkwest
17373,overlea&thorncliffpkw,overleablvd&thorncliffepark
17374,overleablvd&thornclffedr.,overleablvd
17375,keele&patroila,keele
17376,runnymede&st.clairave,runnymede&webb
17377,leslie&oldcummer,leslie
17378,st.cliar&weston,weston
17379,finch&keelebetweentoro,keele
17380,dudnas&keele,keele
17381,vallywood&yorkmills,valleywoods&yorkmills
17382,albans&kipling,kipling
17383,bellamyroadsouth&kingstonrd,kingston
17384,eastwoodrd.gerrard&woodbineave.,gerrardeast&woodbine
17385,christie&yormouthgarden,warden
17386,greenholme&lawrence,greenholmcirct&lawrenceeast
17387,jane&shorehamdr,jane&shoreham
17388,ellesmereroad&morrishroad,ellesmere
17389,eglinton&ennerdalerd.,eglintonwest&ennerdale
17390,yorkmills&yorkridgerd.,yorkmills&yorkridge
17391,berkeleyst&frontsteast,berkeley&fronteast
17392,bathurstst&villagegate,b&hurst&college
17393,sheppard&westonrd.,weston
17394,blackcreek&trethwey,trethewey
17395,antrimcres.&kennedy,antrimcres&kennedy
17396,bloor&queen'sparkcircle,bloorwest&queenspark
17397,eglintonavee&radpath,eglintoneast
17398,burnviewcr&lawrenceavee,burnviewcreseast&lawrenceeast
17399,frederickst&theesplanade,princess&theesplanade
17400,altantic&kingst.,atlantic&kingwest
17401,craighhurst&yonge,yonge
17402,martingrove&slpm-loopatsteeles,martingrove
17403,barbergreenrd&donmills,donmills
17404,8thst.&lakeshoreblvd.,fifth&lakeshoreblvdwest
17405,eastmall&martingrove,martingrove
17406,signet&steels,brenyonwayeast&sewells
17407,sandwelldr.&thewestway,sandwell&thewestway
17408,markhamroad&select,markham
17409,markhamroad&mclevinave,markham
17410,duferin&steeles,dufferin
17411,humbercollege&johngarland,humbercollegeblvd&johngarlandblvd
17412,christie&stclairw,christie&clairwest
17413,danforth&papeavenue,danforth
17414,nbdanforth&vicotriapark,danforth&victoriapark
17415,ellesemere&kingstonrd,ellesmere&kingston
17416,alcinaav&bathurstst,albion
17417,donmills&mc.nicollave.,donmills
17418,mccleaven&nugget,nugget
17419,donmills&mc.nicoll.,donmills&mcnicoll
17420,ellesmererd&mondeo,ellesmere&mondeo
17421,danforth&middland,danforth&midland
17422,eglinton&spidina,eglintonwest&spadina
17423,bedford&daveport,bedford&davenport
17424,fairway&steelesave,keele
17425,highlandcreekoverpass&oldkingstonrd.,highlandcreekoverpass&kingston
17426,ellesmere&pollarddr,ellesmere
17427,donmills&ellesmererd,donmills
17428,sheppard&wilsonhgts,wilson
17429,lawrance&mossbank,lawrenceeast&mossbank
17430,explore&skymark,markham
17431,liang&queen,caroline&queeneast
17432,eglintonavee&hakimiave,eglintoneast
17433,mccowanroadloop&steele'savenueeast,mccowan
17434,dufferinst.&kingst.w,dufferin
17435,keele&shepperd,keele
17436,nightstar&yorkuniversityloop$morningside,morningside
17437,bath.&clark$wilsonstation,wilson
17438,oakwood&vaughan$st.clairweststation,oakwood&vaughan
17439,ellesemere&markhamrd.,markham
17440,kennedystation-morningviertrail&oldfinch,kennedy
17441,hwy#7&mccowan,mccowan
17442,bathurst&strachan,b&hurst&r&hearn
17443,shadlock&steelesave,keele
17444,finch&islingtonave`,islington
17445,hedgewood&yonge,yonge
17446,cottrellegate&rathburn,hburn&r
17447,glencairn&mountdennis$calendonia,dennis
17448,broadviewstation$donmills&eglinton,donmills
17449,cavendish&southwood,glenames&southwood
17450,emmettav.&hospitalroadway,emmett
17451,gatewayblvd&vendome,einwayblvd
17452,morningside&yorku$nightstar,morningside
17453,ferncrest&vicpark,ernest&victoriapark
17454,lawrence&skyway,skyway
17455,427&rathburn,hburn&r
17456,ehlinton&keele,keele
17457,conmmerce&skymark,consumers
17458,highpointrd&parklane,parklawn
17459,donmillsroad&vanhorne,donmills
17460,donmillsroad&rivercourt,donmills
17461,kennedystation$morningviewtrail&oldfinch,kennedy
17462,edgeley.&interchangeway,jane
17463,commando&mccowan,mccowan
17464,leslie&ravelrd,leslie
17465,eglinton&emmettave,emmett
17466,eglintonave.&kaneave.,eglintoneast
17467,elfredablvd&st.clair,rexdaleblvd
17468,orougehilldr.&sheppardw,sheppardwest
17469,mclevin.&tapscott,mclevin&tapscott
17470,barmac&westonrd.,weston
17471,milepostplace&thorncliffepk,milepostpl&thorncliffepark
17472,albionave&toddbrookdr,albion
17473,explorer&skymarkave.,markham
17474,220pm.&stcsrtremovefrommalvernyard,milner
17475,docksides&queensquay,dockside&queensquayeast
17476,emmittave&jane,jane
17477,emmittave.&hospitalroad,emmett
17478,kingstonrd&scarborough,kingston&scarborough
17479,chaplin&davisville,acacia&davisville
17480,finchave&mornigsideave,morningside
17481,coronast&lawrenceavewest,corona&lawrencewest
17482,dundas&osington,dundaswest&ossington
17483,finchave&wilfred,fincheast&wilfred
17484,finchwest&fjan-jane,finchwest
17485,jste-jane&steeles,jane
17486,daveport&yonge,davenport&yonge
17487,nighstar&yorku_morningside,morningside
17488,oconnor&sandra,o'connor&sandra
17489,407&markham,markham
17490,garyraydr.&weston,garyray&weston
17491,bathurst&nassaust,b&hurst&nassau-torontowesternhospital
17492,hollywood&yonge,yonge
17493,senlac&sheppardavewest,senlac&sheppardwest
17494,drummond&teston,weston
17495,ellesmere&sbmarkham,ellesmere&markham
17496,finch&tobemory,finchwest&tobermory
17497,breyonway&forgate,brenyonway&foreg&e
17498,lairddr&vanderhoofave,laird&vanderhoof
17499,brimleyroad&haileyburydrive,brimley
17500,finchw&rumike,finchwest&rumike
17501,frontst&yorkst,fronteast&yonge
17502,sheppardavee&wardenave,warden
17503,ferrier&steelesave,keele
17504,compasscourt&middlefield,compasscrt&middlefield
17505,eglintonavee&o'connordr,o'connor
17506,lawrence&wellandst,lawrencewest&welland
17507,huntingwooddr&mccowanrd,huntingwood&mccowan
17508,ellesmereave&victoriapark,ellesmere&victoriapark
17509,bloor&islington-infrontofislingtonstation,islington
17510,blackthorn&rogers,boon&rogers
17511,ellesmererd&parkingtoncr,ellesmere&parkingtoncres
17512,brentwood&shepperd,brentwood&sheppardwest
17513,durost&strachanave,fleet&rachan
17514,donvalleyparkway&ellesmere,ellesmere
17515,rainee&varna,ranee&varna
17516,eglintonave&martingroverd,martingrove
17517,leslie&steelesave,leslie
17518,ellesmereave&warden,ellesmere&warden
17519,lawrernce&weston,weston
17520,moorpark&yongest,moorepark&yongewest
17521,finchw&yonge,yonge
17522,eastofsentinel&finchw,finchwest
17523,consumersroad&sheppard,consumers
17524,dundas&ossingotn,dundaswest&ossington
17525,adelaide&simco,adelaideeast&parliament
17526,wilsonav&yongeblvd,wilson&yongeblvd
17527,gordonbakerav&victoriapark,gordonbaker&victoriapark
17528,donmills&goodwillrd,donmills
17529,islingtonave&westhampton,islington
17530,15wellingtonst.w&yongest.,yonge
17531,donmillsroad&mogul,donmills
17532,finch&sentenial,finchwest&sentinel
17533,wynford&wynfordheights,wynford&wynfordheightscres
17534,eglintonav&mt.pleasent,eglintoneast&mtpleasant
17535,airport&orlandodr.,airport&orlando
17536,cosbourn&pape,cosburn&pape
17537,lawrence&weststation,lawrencewest&weston
17538,eglinton&mountplesant,eglintoneast&mountpleasant
17539,lawrence&sageave,lawrencewest&sage
17540,markham&passmorerd,markham&passmore
17541,eglintonavee&st.dennisdr,dennis
17542,cherry&frontstreet,cherry&fronteast
17543,barmacdr.&steels,pharmacy
17544,arrowrd.&finchave.,arrow
17545,birmley&sheppard,brimley&sheppardeast
17546,gunnsroad&weston,weston
17547,blakemanorblvdeglinton&markhamrd,markham
17548,lansdowne&rogers,lansdowne
17549,bathurst&lyttonblvd.,b&hurst&lyttonblvd
17550,albian&elmhurst,albion&elmhurst
17551,deanparkrd&meadowvalerd,deanpark&meadowvale
17552,birchmountrd&wintermuteblvdsteeles,birchmount
17553,parksidloor-parkside&ridout,moorepark
17554,80hill&coehill,coehill
17555,bayview&steelesave,bayview
17556,transitroad&wilsonstation,wilson
17557,rayave&weston,weston
17558,cliffton&st.clair,clair&ion
17559,finch&pinewaydrive,finch&ion
17560,ellesmere&morningsideroad,ellesmere&morningside
17561,northwooddr&willowdaleave,northwood&willowdale
17562,nessdr&yorkmillsrd,yorkmills
17563,eglintonavew&islingtonave,islington
17564,brandon&lansdown,brandon&lansdowne
17565,jane&the400bridge,jane
17566,trewethey&yore,trethewey
17567,christie&essext,christie&essexsouth
17568,bayview&steelesat303pm,bayview
17569,emmittave.&hospitalroadway,emmett
17570,desmond&vaughn,kenwood&vaughan
17571,davenportrd&fordst,davean
17572,kipling&stgeorge,kipling
17573,cummerav&willowdaleav,cummer
17574,rushton&vaughn,arlington&vaughan
17575,30thstreet&horner,horner
17576,grandmarshalldr.&sheppard,grandmarshall&sheppardeast
17577,transitrd&wilsonave,wilson
17578,caledonia&st.clairwest,caledonia&clairwest
17579,clovely&oakwood,clovelly&oakwood
17580,brimlay&sheppard,brimley&sheppardeast
17581,keele&wislon,keele&wilson
17582,jarvis&queensquaye,lowerjarvis&queensquayeastnorth
17583,bowesrd&rivermead,bloorwest&riverviewgardens
17584,eglinton&thermosrd.,eglintoneast&thermos
17585,fenside&slidell,fenside&slidellcres
17586,danfoth&kenmark,danforth
17587,islington&nofbloor,islington
17588,barkdenehills&gradwelldrive,barkdenehills&gradwell
